Loja,Melhor_Ganho,Latam,Azul,GOL,Livelo,Esfera,dt_ingestion
DFDS Seaways,7 pt/£,,,,,,2024-04-12
Theatre Tickets Direct,3 pt/£,,,,,,2024-04-12
Sercotel Hotels,8 pt/£,,,,,,2024-04-12
Disneyland Paris,3 pt/£,,,,,,2024-04-12
Picniq Tickets,3 pt/£,,,,,,2024-04-12
Away Resorts,2 pt/£,,,,,,2024-04-12
Mercafé Por 3Corações,1 pt/R$,,,,,,2024-04-12
Railcard,3 pt/£,,,,,,2024-04-12
Luxury Coastal,5 pt/£,,,,,,2024-04-12
Homes & Villas by Marriott Bonvoy,3 pt/£,,,,,,2024-04-12
Sea Life,2 pt/£,,,,,,2024-04-12
Utensílios do Chef,2 pt/R$,,,,,2 pt/R$,2024-04-12
Weblar Tech,1 pt/R$,,,,,,2024-04-12
Warner Leisure Hotels,5 pt/£,,,,,,2024-04-12
Interrail by National Rail,4 pt/£,,,,,,2024-04-12
Vintage Travel,2 pt/£,,,,,,2024-04-12
Holiday Extras,2 pt/£,,,,,,2024-04-12
Millennium Hotels & Resorts,3 pt/£,,,,,,2024-04-12
Point A Hotels,6 pt/£,,,,,,2024-04-12
Luxury Cottages,3 pt/£,,,,,,2024-04-12
Village Hotels,6 pt/£,,,,,,2024-04-12
Eurocamp,4 pt/£,,,,,,2024-04-12
Liga Vitória Seguro Residencial,3 pt/R$,,,,3 pt/R$,,2024-04-12
Multiloja,1 pt/R$,,,,,,2024-04-12
London Eye,3 pt/£,,,,,,2024-04-12
Spyscape NYC,10 pt/£,,,,,,2024-04-12
Democrata,1 pt/R$,,,,1 pt/R$,,2024-04-12
ebookers.com Hotels,6 pt/£,,,,,,2024-04-12
Liga Vitória Seguro Auto,1 pt/R$,,,,1 pt/R$,,2024-04-12
Q Compra,3 pt/R$,,,,3 pt/R$,,2024-04-12
tourhub,4 pt/£,,,,,,2024-04-12
Ciclic Bike,1 pt/R$,,,,1 pt/R$,,2024-04-12
Gift Cards,1 pt/R$,,,,,,2024-04-12
Liga Vitória Seguro de Vida,3 pt/R$,,,,3 pt/R$,,2024-04-12
Liga Vitória Seguro Moto,1 pt/R$,,,,1 pt/R$,,2024-04-12
Europa,1 pt/R$,,,,,,2024-04-12
OYO Rooms,4 pt/£,,,,,,2024-04-12
ZSL Whipsnade Zoo,3 pt/£,,,,,,2024-04-12
Top Villas,3 pt/£,,,,,,2024-04-12
CabinZero,8 pt/£,,,,,,2024-04-12
Ciclic Seguro Bolsa,4 pt/R$,,,,4 pt/R$,,2024-04-12
Leonfer,1 pt/R$,,,,,,2024-04-12
Lojas Dular,1 pt/R$,,,,,,2024-04-12
Siblu Holidays,6 pt/£,,,,,,2024-04-12
Travelzoo,5 pt/£,,,,,,2024-04-12
Beleza na Web PRO,10 pt/R$,,,,10 pt/R$,,2024-04-12
Mind,1 pt/R$,,,,,,2024-04-12
New Era,1 pt/R$,,,,,,2024-04-12
QHotels,6 pt/£,,,,,,2024-04-12
Norton by Symantec,80 pt/£,,,,,,2024-04-12
Liga Vitória Seguro Viagem,3 pt/R$,,,,3 pt/R$,,2024-04-12
Luuna Sleep,1 pt/R$,,,,,,2024-04-12
Perfect Draft (Ambev),1 pt/R$,,,,1 pt/R$,,2024-04-12
Cozinhas Nesher,1 pt/R$,,,,,,2024-04-12
DPaschoal,1 pt/R$,,,,1 pt/R$,,2024-04-12
MAPFRE Seguro Auto,1 pt/R$,,,,1 pt/R$,,2024-04-12
Plasutil,1 pt/R$,,,,,,2024-04-12
Weconnect,1 pt/R$,,,,,,2024-04-12
Wlc,1 pt/R$,,,,,,2024-04-12
Palma Aquarium,7 pt/£,,,,,,2024-04-12
Mundial Acabamentos,1 pt/R$,,,,,,2024-04-12
Luck Recepctivo Maceió,1 pt/R$,,,,1 pt/R$,,2024-04-12
Guimepa,1 pt/R$,,,,,,2024-04-12
Jogê,1 pt/R$,,,,,,2024-04-12
Loja Bb,1 pt/R$,,,,,,2024-04-12
Windsor Hoteis,1 pt/R$,,,,1 pt/R$,,2024-04-12
Sim,1 pt/R$,,,,,1 pt/R$,2024-04-12
Agaxtur Viagens e Turismo,2 pt/R$,,,,,2 pt/R$,2024-04-12
Re Petit,1 pt/R$,,,,1 pt/R$,,2024-04-12
Bibi Calçados,1 pt/R$,,,,,,2024-04-12
Befly Travel Viagens e Turismo,5 pt/R$,,,,,5 pt/R$,2024-04-12
